STATE,YEAR,ENROLL,POLITICAL_AFFILIATION,INSTRUCTION_EXPENDITURE_PER_1000_STUDENTS,TOTAL_EXPENDITURE_PER_1000_STUDENTS,Expenditure_Type,Expenditure
Minnesota,1996,827418.0,Democratic,3873.3820148945274,7763.047214346316,INSTRUCTION_EXPENDITURE,3204906
Mississippi,1996,503602.0,Republican,2459.307151282163,4504.9979944479965,INSTRUCTION_EXPENDITURE,1238512
Missouri,1996,873867.0,Republican,3141.5741754752157,6039.574672118297,INSTRUCTION_EXPENDITURE,2745318
Montana,1996,165390.0,Republican,3253.4675615212527,5588.360844065542,INSTRUCTION_EXPENDITURE,538091
Nebraska,1996,289251.0,Republican,3690.1894894053953,6709.771098457741,INSTRUCTION_EXPENDITURE,1067391
Nevada,1996,265041.0,Swing,2894.7860896993298,6070.7173607102295,INSTRUCTION_EXPENDITURE,767237
New_Hampshire,1996,191004.0,Swing,3798.6063119096984,6780.517685493497,INSTRUCTION_EXPENDITURE,725549
New_Jersey,1996,1193928.0,Democratic,5558.645077425104,10443.85926119498,INSTRUCTION_EXPENDITURE,6636622
New_Mexico,1996,329661.0,Democratic,2421.7757029190593,4982.442569791392,INSTRUCTION_EXPENDITURE,798365
New_York,1996,2788343.0,Democratic,5728.71522621141,9674.030060146833,INSTRUCTION_EXPENDITURE,15973623
North_Carolina,1996,1181600.0,Swing,2985.727826675694,5515.496784021665,INSTRUCTION_EXPENDITURE,3527936
North_Dakota,1996,119102.0,Republican,2840.640795284714,5523.072660408725,INSTRUCTION_EXPENDITURE,338326
Ohio,1996,1837628.0,Swing,3423.8061239815675,6495.102381983731,INSTRUCTION_EXPENDITURE,6291682
Oklahoma,1996,616436.0,Republican,2661.359816753077,5183.710879961586,INSTRUCTION_EXPENDITURE,1640558
Oregon,1996,527769.0,Democratic,3561.478601433582,6650.191655819118,INSTRUCTION_EXPENDITURE,1879638
Pennsylvania,1996,1764117.0,Swing,4512.700121363832,8530.494859467937,INSTRUCTION_EXPENDITURE,7960931
Rhode_Island,1996,148977.0,Democratic,4697.221718788806,7333.071547957067,INSTRUCTION_EXPENDITURE,699778
South_Carolina,1996,635678.0,Republican,2864.42035118409,5496.05303313942,INSTRUCTION_EXPENDITURE,1820849
South_Dakota,1996,136394.0,Republican,2810.8054606507617,5057.539187940819,INSTRUCTION_EXPENDITURE,383377
Tennessee,1996,881749.0,Republican,2680.5190592787744,4858.730772589478,INSTRUCTION_EXPENDITURE,2363545
Texas,1996,3740260.0,Republican,3055.285996160695,5989.368920877158,INSTRUCTION_EXPENDITURE,11427564
Utah,1996,474907.0,Republican,2385.321757733619,4528.716148635417,INSTRUCTION_EXPENDITURE,1132806
Vermont,1996,101064.0,Democratic,4200.922187920525,9655.436159265417,INSTRUCTION_EXPENDITURE,424562
Virginia,1996,1079854.0,Swing,3334.929536770712,6392.88644576026,INSTRUCTION_EXPENDITURE,3601237
Washington,1996,956572.0,Democratic,3368.902706748682,6877.044278946069,INSTRUCTION_EXPENDITURE,3222598
West_Virginia,1996,306451.0,Republican,3693.39959732551,6320.253482612228,INSTRUCTION_EXPENDITURE,1131846
Wisconsin,1996,869930.0,Swing,4101.092041888428,7496.072097754992,INSTRUCTION_EXPENDITURE,3567663
Wyoming,1996,99859.0,Republican,3606.084579256752,6772.5993651047975,INSTRUCTION_EXPENDITURE,360100
Alabama,1997,737386.0,Republican,2842.3430876094744,5375.236307714006,INSTRUCTION_EXPENDITURE,2095904
Alaska,1997,128143.0,Republican,5087.558430815573,9654.081768024786,INSTRUCTION_EXPENDITURE,651935
Arizona,1997,783552.0,Swing,2523.827391162297,5656.752838356611,INSTRUCTION_EXPENDITURE,1977550
Arkansas,1997,457349.0,Republican,2824.3791940072024,5202.80136176093,INSTRUCTION_EXPENDITURE,1291727
California,1997,5595836.0,Democratic,3245.34796945443,6051.335493034464,INSTRUCTION_EXPENDITURE,18160435
Colorado,1997,672634.0,Swing,3253.970212626778,6538.7655099207,INSTRUCTION_EXPENDITURE,2188731
Connecticut,1997,507838.0,Democratic,5334.587013969021,9142.35445161646,INSTRUCTION_EXPENDITURE,2709106
Delaware,1997,110245.0,Democratic,4413.352079459386,8069.581386910971,INSTRUCTION_EXPENDITURE,486550
District_Of_Columbia,1997,78648.0,Democratic,4290.013732072017,8723.15888515919,INSTRUCTION_EXPENDITURE,337401
Florida,1997,2241298.0,Swing,3000.865123691718,6498.354971092644,INSTRUCTION_EXPENDITURE,6725833
Georgia,1997,1346761.0,Swing,3344.4427036422944,6299.1703798966555,INSTRUCTION_EXPENDITURE,4504165
Hawaii,1997,187653.0,Democratic,3651.553665542251,6615.26860748296,INSTRUCTION_EXPENDITURE,685225
Idaho,1997,245252.0,Republican,2772.9152055844597,5275.002854207101,INSTRUCTION_EXPENDITURE,680063
Illinois,1997,1952892.0,Democratic,3523.6464689291574,7128.193981029161,INSTRUCTION_EXPENDITURE,6881301
Indiana,1997,981546.0,Swing,3698.8495699641176,7462.804596014858,INSTRUCTION_EXPENDITURE,3630591
Iowa,1997,502941.0,Swing,3484.9356087493366,6929.916232719146,INSTRUCTION_EXPENDITURE,1752717
Kansas,1997,466368.0,Republican,3166.3064361191164,6324.63633868533,INSTRUCTION_EXPENDITURE,1476664
Kentucky,1997,631592.0,Republican,3357.5203612458677,6179.8423665910905,INSTRUCTION_EXPENDITURE,2120583
Louisiana,1997,808798.0,Republican,2726.3272164372315,4979.275418584121,INSTRUCTION_EXPENDITURE,2205048
Maine,1997,213241.0,Democratic,4251.982498675207,7164.02099033488,INSTRUCTION_EXPENDITURE,906697
Maryland,1997,818583.0,Democratic,4104.634472008336,7594.978151268717,INSTRUCTION_EXPENDITURE,3359984
Massachusetts,1997,928519.0,Democratic,4813.976881463923,8055.200809030294,INSTRUCTION_EXPENDITURE,4469869
Michigan,1997,1684261.0,Swing,4024.060403939769,8452.313507229579,INSTRUCTION_EXPENDITURE,6777568
Minnesota,1997,837847.0,Democratic,4131.311564044509,8224.381062413544,INSTRUCTION_EXPENDITURE,3461407
Mississippi,1997,503979.0,Republican,2465.7793281069253,4602.025084378516,INSTRUCTION_EXPENDITURE,1242701
Missouri,1997,899750.0,Republican,3230.7852181161434,6143.601000277856,INSTRUCTION_EXPENDITURE,2906899
Montana,1997,164464.0,Republican,3391.866913123845,5910.466728280961,INSTRUCTION_EXPENDITURE,557840
Nebraska,1997,290883.0,Republican,3719.687984516111,6692.467418171567,INSTRUCTION_EXPENDITURE,1081994
