jurisdiction,year,prisoner_count,state_population,prisoner_rate,Geographic Area Name,Education Level,Percentage,higher_education_rate,id
Tennessee,2016,21539,6649404.0,0.0032392376820539106,Tennessee,Bachelor's degree or higher,0.09227895113656703,0.5247801017668567,47
Texas,2016,151276,27904862.0,0.005421134137843076,Texas,Less than high school graduate,0.16325176690347087,0.5244525857929898,48
Texas,2016,151276,27904862.0,0.005421134137843076,Texas,High school graduate (includes equivalency),0.31229564730353937,0.5244525857929898,48
Texas,2016,151276,27904862.0,0.005421134137843076,Texas,Some college or associate's degree,0.443127743186783,0.5244525857929898,48
Texas,2016,151276,27904862.0,0.005421134137843076,Texas,Bachelor's degree or higher,0.08132484260620682,0.5244525857929898,48
Utah,2016,4502,3044321.0,0.0014788190864235408,Utah,Less than high school graduate,0.1273592202970297,0.574647158225438,49
Utah,2016,4502,3044321.0,0.0014788190864235408,Utah,High school graduate (includes equivalency),0.2979936214775324,0.574647158225438,49
Utah,2016,4502,3044321.0,0.0014788190864235408,Utah,Some college or associate's degree,0.5076250714013709,0.574647158225438,49
Utah,2016,4502,3044321.0,0.0014788190864235408,Utah,Bachelor's degree or higher,0.06702208682406702,0.574647158225438,49
Vermont,2016,1735,623354.0,0.0027833301783577228,Vermont,Less than high school graduate,0.09599429030243554,0.6166770749695185,50
Vermont,2016,1735,623354.0,0.0027833301783577228,Vermont,High school graduate (includes equivalency),0.28732863472804593,0.6166770749695185,50
Vermont,2016,1735,623354.0,0.0027833301783577228,Vermont,Some college or associate's degree,0.494305171439617,0.6166770749695185,50
Vermont,2016,1735,623354.0,0.0027833301783577228,Vermont,Bachelor's degree or higher,0.12237190352990157,0.6166770749695185,50
Virginia,2016,29882,8414380.0,0.0035513014624963457,Virginia,Less than high school graduate,0.1058592872707849,0.5874158558274202,51
Virginia,2016,29882,8414380.0,0.0035513014624963457,Virginia,High school graduate (includes equivalency),0.30672485690179485,0.5874158558274202,51
Virginia,2016,29882,8414380.0,0.0035513014624963457,Virginia,Some college or associate's degree,0.4658075716098017,0.5874158558274202,51
Virginia,2016,29882,8414380.0,0.0035513014624963457,Virginia,Bachelor's degree or higher,0.12160828421761853,0.5874158558274202,51
Washington,2016,17228,7280934.0,0.002366179943397372,Washington,Less than high school graduate,0.14810928955168162,0.545811023787984,53
Washington,2016,17228,7280934.0,0.002366179943397372,Washington,High school graduate (includes equivalency),0.30607968666033447,0.545811023787984,53
Washington,2016,17228,7280934.0,0.002366179943397372,Washington,Some college or associate's degree,0.4398466417893598,0.545811023787984,53
Washington,2016,17228,7280934.0,0.002366179943397372,Washington,Bachelor's degree or higher,0.10596438199862417,0.545811023787984,53
West Virginia,2016,5899,1828637.0,0.003225899946244115,West Virginia,Less than high school graduate,0.1288270283693814,0.5091352009744214,54
West Virginia,2016,5899,1828637.0,0.003225899946244115,West Virginia,High school graduate (includes equivalency),0.36203777065619713,0.5091352009744214,54
West Virginia,2016,5899,1828637.0,0.003225899946244115,West Virginia,Some college or associate's degree,0.43157172758771567,0.5091352009744214,54
West Virginia,2016,5899,1828637.0,0.003225899946244115,West Virginia,Bachelor's degree or higher,0.07756347338670577,0.5091352009744214,54
Wisconsin,2016,23163,5772917.0,0.0040123563183049405,Wisconsin,Less than high school graduate,0.11638507743110908,0.5724831331131861,55
Wisconsin,2016,23163,5772917.0,0.0040123563183049405,Wisconsin,High school graduate (includes equivalency),0.31113178945570485,0.5724831331131861,55
Wisconsin,2016,23163,5772917.0,0.0040123563183049405,Wisconsin,Some college or associate's degree,0.46686759849692555,0.5724831331131861,55
Wisconsin,2016,23163,5772917.0,0.0040123563183049405,Wisconsin,Bachelor's degree or higher,0.10561553461626054,0.5724831331131861,55
Wyoming,2016,2352,584910.0,0.004021131456121455,Wyoming,Less than high school graduate,0.14393501741855294,0.5358787178544544,56
Wyoming,2016,2352,584910.0,0.004021131456121455,Wyoming,High school graduate (includes equivalency),0.32018626472699263,0.5358787178544544,56
Wyoming,2016,2352,584910.0,0.004021131456121455,Wyoming,Some college or associate's degree,0.4737671340790925,0.5358787178544544,56
Wyoming,2016,2352,584910.0,0.004021131456121455,Wyoming,Bachelor's degree or higher,0.06211158377536194,0.5358787178544544,56
